Tipo de documento,CUFE/CUDE,Folio,Prefijos,Fecha Emisión,Fecha Recepción,NIT Emisor,Nombre Emisor,NIT Receptor,Nombre Receptor,IVA,ICA,IPC,Total,Estado,Grupo
Factura electrónica,e590534bae070548d11ba359d7544f29fa50265d678a669f1b0531bfc55c994aebaf461bf7a6596d71ef0932c51e1344,291057346,3,01-01-2023,08-01-2023 03:04:24,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,19879.25,0,0,124543.6,Aprobado con notificación,Recibido
Factura electrónica,58637fb06a171077d1e07940c0bceec5d97f961a43173237fb08d48ab9fbe9c8db4282de148f6ad7b18bef175a8cc37c,291037616,3,01-01-2023,08-01-2023 02:52:55,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,27478.94,0,0,172105,Aprobado con notificación,Recibido
Factura electrónica,5368c8897cabc24d6485638445f4a121fc736c5ef73c1aa542005e3a6bd264cded0ea7157a70621fd2131bb04af5648e,291072551,3,01-02-2023,08-02-2023 19:57:08,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,18687.45,0,0,117042.45,Aprobado con notificación,Recibido
Factura electrónica,f05bb1a9e432f976ff138f08dc2698d85b7d8ff75fd7516b1f98bfc5499207e7a333fcf76119cb70cbda6339d7aac94f,291096920,3,01-02-2023,08-02-2023 19:40:49,800153993,COMCEL S.A.,900673912,SNF COLOMBIA SAS ,27478.94,0,0,172105,Aprobado con notificación,Recibido
Factura electrónica,50d2eb38b3ac605ad8d10403489b82dac2b124275385f789dd405ae2d3d6dede1ee8d2a43e3f91c90227d7218c75ce47,21138,B003,01-02-2023,01-02-2023 15:11:43,900606944,ROLCO SHIPPING S.A.S,900673912,SNF COLOMBIA SAS,4.75,0,0,29.75,Aprobado con notificación,Recibido
Factura electrónica,330f70995822d062958539cf243b22df7fab35a9bff4e7301e09f215297bb00566b4ed3cd761410fcef4619683377c55,21137,B003,01-02-2023,01-02-2023 15:10:09,900606944,ROLCO SHIPPING S.A.S,900673912,SNF COLOMBIA SAS,4.75,0,0,29.75,Aprobado con notificación,Recibido
Factura electrónica,c1b388e04f80903d1489c7a3ce963f984530547b41d725d2dd37e1ce9c321607dd5a11971e0d38e09744f9ac12871282,42004,C,01-02-2023,01-02-2023 11:54:05,900444251,MASTERLINE COLOMBIA SAS,900673912,SNF COLOMBIA SAS,64.6,0,0,741.94,Aprobado con notificación,Recibido
Factura electrónica,e9af40deca9449438161e1af293c1e1febc71acc8ee78e6626b36e673162806a717a00c55e070314d4539daefa5a73da,42010,C,01-02-2023,01-02-2023 13:02:06,900444251,MASTERLINE COLOMBIA SAS,900673912,SNF COLOMBIA SAS,64.6,0,0,741.94,Aprobado con notificación,Recibido
Factura electrónica,31ee223cf930f598969800c1e4f032421ee612e708c97a0b7494b04e1a5a851a0708a938c1fd0fdb07b689e5be8b9ace,2084,FE,01-02-2023,01-02-2023 20:58:21,900884628,CR BUREAU PARTNERS SAS,900673912,SNF COLOMBIA S.A.S,493987.84,0,0,3093923.84,Aprobado con notificación,Recibido
Factura electrónica,d46e480ac396173f66e399fe6d4d1190a4bb19aa32111149c0eb2fbfe7d61cf4de2d8462fc007555fc4a1844d5b4f6d8,5406,FESI,01-03-2023,01-03-2023 14:19:35,830143150,Software y Servicios Informaticos SAS,900673912,SNF COLOMBIA S A S,0,0,0,590000,Aprobado con notificación,Recibido
